X,sp,pt,treatment,area,isolation,k,lnK
FD1,CM,F,N,2.040276397,1.941285488,0.47554394,0.168952147
FD1,FX,F,G,2.040276397,1.941285488,0.599918217,0.204097783
FD1,FX,F,N,2.040276397,1.941285488,1.406076007,0.381309342
FD1,MH,F,G,2.040276397,1.941285488,0.394682444,0.144475334
FD1,MH,F,N,2.040276397,1.941285488,0.507768315,0.178334613
FD1,QG,F,G,2.040276397,1.941285488,0.18017525,0.071946503
FD1,QG,F,N,2.040276397,1.941285488,0.258141008,0.099729318
FD1,XZ,F,G,2.040276397,1.941285488,0.416794865,0.151306974
FD1,XZ,F,N,2.040276397,1.941285488,0.317803904,0.11985079
FD2,BL,G,G,2.040276397,1.941285488,0.452811094,0.162209148
FD2,BL,G,N,2.040276397,1.941285488,0.253872798,0.098253481
FD2,CM,G,G,2.040276397,1.941285488,0.313474294,0.118421578
FD2,CM,G,N,2.040276397,1.941285488,0.432494735,0.156093034
FD2,FX,G,G,2.040276397,1.941285488,0.497863092,0.17547212
FD2,FX,G,N,2.040276397,1.941285488,1.254050261,0.352963596
FD2,MH,G,G,2.040276397,1.941285488,0.278153375,0.106582971
FD2,MH,G,N,2.040276397,1.941285488,0.423413355,0.153331036
FD2,QG,G,G,2.040276397,1.941285488,0.272284145,0.104584115
FD2,QG,G,N,2.040276397,1.941285488,0.307464136,0.116429785
FD2,XZ,G,G,2.040276397,1.941285488,0.362076591,0.134201529
FD2,XZ,G,N,2.040276397,1.941285488,0.388038717,0.14240158
GTXMTY1,BL,F,G,-5.533539825,3.620224162,0.254513055,0.226747493
GTXMTY1,BL,F,N,-5.533539825,3.620224162,0.485447564,0.171857326
GTXMTY1,CM,F,G,-5.533539825,3.620224162,0.441951746,0.158950727
GTXMTY1,CM,F,N,-5.533539825,3.620224162,0.488240332,0.17267307
GTXMTY1,FX,F,G,-5.533539825,3.620224162,0.574584076,0.197165855
GTXMTY1,FX,F,N,-5.533539825,3.620224162,1.394414001,0.379199243
GTXMTY1,MH,F,G,-5.533539825,3.620224162,0.303937564,0.115256797
GTXMTY1,MH,F,N,-5.533539825,3.620224162,0.432896135,0.156214711
GTXMTY1,QG,F,G,-5.533539825,3.620224162,0.199908713,0.079148207
GTXMTY1,QG,F,N,-5.533539825,3.620224162,0.271947143,0.104469064
GTXMTY1,XZ,F,G,-5.533539825,3.620224162,0.464856248,0.165795008
GTXMTY1,XZ,F,N,-5.533539825,3.620224162,0.754794909,0.244226366
HLD1,BL,F,G,-0.015225035,3.440505575,0.237667402,0.213228481
HLD1,BL,F,N,-0.015225035,3.440505575,0.364471113,0.134964346
HLD1,CM,F,G,-0.015225035,3.440505575,0.294023915,0.111942303
HLD1,CM,F,N,-0.015225035,3.440505575,0.345091318,0.12875177
HLD1,FX,F,G,-0.015225035,3.440505575,0.736499147,0.239674574
HLD1,FX,F,N,-0.015225035,3.440505575,0.833601145,0.263304871
HLD1,MH,F,G,-0.015225035,3.440505575,0.444647284,0.159761825
HLD1,MH,F,N,-0.015225035,3.440505575,0.534296803,0.18590938
HLD1,QG,F,G,-0.015225035,3.440505575,0.210856675,0.08309274
HLD1,QG,F,N,-0.015225035,3.440505575,0.176789767,0.070698883
HLD1,XZ,F,G,-0.015225035,3.440505575,0.30984182,0.117218852
HLD1,XZ,F,N,-0.015225035,3.440505575,0.279820733,0.107149141
JT1,BL,F,G,4.388387937,1.144118754,0.39044206,0.329621725
JT1,BL,F,N,4.388387937,1.144118754,0.478508563,0.169823844
JT1,CM,F,G,4.388387937,1.144118754,0.36531516,0.135232913
JT1,CM,F,N,4.388387937,1.144118754,0.479334258,0.170066315
JT1,FX,F,G,4.388387937,1.144118754,0.508477056,0.178538709
JT1,FX,F,N,4.388387937,1.144118754,0.827710188,0.261907333
JT1,MH,F,G,4.388387937,1.144118754,0.260740278,0.100625628
JT1,MH,F,N,4.388387937,1.144118754,0.41988338,0.152252676
JT1,QG,F,G,4.388387937,1.144118754,0.25489836,0.098608552
